id;value;parent
1513;24393;24
1514;24207;24
1515;24391;24
1516;24920;24
1517;24960;24
1518;24238;24
1519;24199;24
1520;24761;24
1521;24374;24
1522;24170;24
1523;24398;24
1524;24838;24
1525;24792;24
1526;24743;24
1527;24150;24
1528;24524;24
1529;24127;24
1530;24722;24
1531;24488;24
1532;24796;24
1533;24251;24
1534;24281;24
1535;24146;24
1536;24690;24
1537;24547;24
1538;24227;24
1539;24171;24
1540;24232;24
1541;24329;24
1542;24546;24
1543;24478;24
1544;24526;24
1545;24989;24
1546;24132;24
1547;24845;24
1548;24319;24
1549;24284;24
1550;24009;24
1551;24567;24
1552;24568;24
1553;24700;24
1554;24849;24
1555;24121;24
1556;24272;24
1557;24253;24
1558;24740;24
1559;24525;24
1560;24433;24
1561;24343;24
1562;24746;24
1563;24750;24
1564;24429;24
1565;24491;24
1566;24239;24
1567;24913;24
1568;24441;24
1569;24394;24
1570;24151;24
1571;24492;24
1572;24356;24
1573;24830;24
1574;24689;24
1575;24852;24
1576;24609;24
1577;24148;24
1578;24368;24
1579;24137;24
1580;24608;24
1581;24300;24
1582;24396;24
1583;24233;24
1584;24280;24
1585;24123;24
1586;24389;24
1587;24252;24
1588;24325;24
1589;24438;24
1590;24885;24
1591;24124;24
1592;24911;24
1593;24860;24
1594;24312;24
1595;24717;24
1596;24714;24
1597;24850;24
1598;24443;24
1599;24414;24
1600;24520;24
1601;24360;24
1602;24716;24
1603;24719;24
1604;24648;24
1605;24437;24
1606;24994;24
1607;24724;24
1608;24172;24
1609;24793;24
1610;24620;24
1611;24205;24
1612;24412;24
1613;24234;24
1614;24110;24
1615;24111;24
1616;24888;24
1617;24224;24
1618;24142;24
1619;24540;24
1620;24517;24
1621;24915;24
1622;24914;24
1623;24760;24
1624;24342;24
1625;24883;24
1626;24221;24
1627;24699;24
1628;24225;24
1629;24511;24
1630;24610;24
1631;24410;24
1632;24125;24
1633;24197;24
1634;24120;24
1635;24848;24
1636;24152;24
1637;24144;24
1638;24165;24
1639;24918;24
1640;24206;24
1641;24196;24
1642;24161;24
1643;24328;24
1644;24195;24
1645;24549;24
1646;24544;24
1647;24141;24
1648;24711;24
1649;24270;24
1650;24442;24
1651;24688;24
1652;24166;24
1653;24917;24
1654;24630;24
1655;24742;24
1656;24721;24
1657;24718;24
1658;24327;24
1659;24163;24
1660;24153;24
1661;24344;24
1662;24735;24
1663;24222;24
1664;24314;24
1665;24765;24
1666;24323;24
1667;24174;24
1668;24892;24
1669;24769;24
1670;24889;24
1671;24510;24
1672;24395;24
1673;24326;24
1674;24392;24
1675;24231;24
1676;24257;24
1677;24893;24
1678;24844;24
1679;24723;24
1680;24444;24
1681;24991;24
1682;24660;24
1683;24800;24
1684;24857;24
1685;24712;24
1686;24836;24
1687;24313;24
1688;24858;24
1689;24490;24
1690;24715;24
1691;24228;24
1692;24480;24
1693;24980;24
1694;24514;24
1695;24143;24
1696;24940;24
1697;24545;24
1698;24496;24
1699;24738;24
1700;24732;24
1701;24390;24
1702;24730;24
1703;24745;24
1704;24870;24
1705;24341;24
1706;24494;24
1707;24376;24
1708;24439;24
1709;24274;24
1710;24288;24
1711;24420;24
1712;24837;24
1713;24415;24
1714;24282;24
1715;24260;24
1716;24886;24
1717;24311;24
1718;24378;24
1719;24291;24
1720;24250;24
1721;24434;24
1722;24878;24
1723;24223;24
1724;24209;24
1725;24813;24
1726;24411;24
1727;24160;24
1728;24285;24
1729;24294;24
1730;24340;24
1731;24339;24
1732;24346;24
1733;24287;24
1734;24131;24
1735;24767;24
1736;24763;24
1737;24515;24
1738;24516;24
1739;24286;24
1740;24283;24
1741;24530;24
1742;24741;24
1743;24855;24
1744;24324;24
1745;24440;24
1746;24126;24
1747;24248;24
1748;24513;24
1749;24995;24
1750;24136;24
1751;24566;24
1752;24000;24
1753;24457;24
1754;24428;24
1755;24388;24
1756;24271;24
1757;24114;24
1758;24843;24
1759;24869;24
1760;24912;24
1761;24122;24
1762;24318;24
1763;24140;24
1764;24226;24
1765;24210;24
1766;24218;24
1767;24217;24
1768;24369;24
1769;24744;24
1770;24847;24
1771;24887;24
1772;24495;24
1773;24290;24
1774;24273;24
1775;24460;24
1776;24359;24
1777;24820;24
1778;24815;24
1779;24379;24
1780;24130;24
1781;24846;24
1782;24149;24
1783;24523;24
1784;24155;24
1785;24731;24
1786;24436;24
1787;24884;24
1788;24736;24
1789;24791;24
1790;24720;24
1791;24839;24
1792;24156;24
1793;24193;24
1794;24734;24
1795;24811;24
1796;24134;24
1797;24113;24
1798;24916;24
1799;24853;24
1800;24764;24
1801;24890;24
1802;24856;24
1803;24446;24
1804;24512;24
1805;24470;24
1806;24522;24
1807;24854;24
1808;24375;24
1809;24249;24
1810;24600;24
1811;24795;24
1812;24459;24
1813;24448;24
1814;24479;24
1815;24880;24
1816;24380;24
1817;24548;24
1818;24816;24
1819;24930;24
1820;24762;24
1821;24733;24
1822;24208;24
1823;24990;24
1824;24900;24
1825;24766;24
1826;24794;24
1827;24139;24
1828;24275;24
1829;24640;24
1830;24458;24
1831;24387;24
1832;24687;24
1833;24315;24
1834;24810;24
1835;24812;24
1836;24320;24
1837;24384;24
1838;24797;24
1839;24317;24
1840;24154;24
1841;24710;24
1842;24237;24
1843;24316;24
1844;24879;24
1845;24385;24
1846;24469;24
1847;24650;24
1848;24276;24
1849;24240;24
1850;24493;24
1851;24164;24
1852;24445;24
1853;24330;24
1854;24416;24
1855;24550;24
1856;24882;24
1857;24347;24
1858;24814;24
1859;24713;24
1860;24489;24
1861;24497;24
1862;24560;24
1863;24450;24
1864;24370;24
1865;24377;24
1866;24192;24
1867;24790;24
1868;24220;24
1869;24230;24
1870;24970;24
1871;24200;24
